State,TotalPop,UFO Sightings,,,
Alabama,4850771,319,,,
Alaska,738565,642,,,
Arizona,6809946,588,,,
Arkansas,2977944,2414,,,
California,38982847,8912,,,
Colorado,5436519,1413,,,
Connecticut,3594478,892,,,
Delaware,943732,166,,,
District of Columbia,672391,7,,,
Florida,20278447,3835,,,
Georgia,10201635,1255,,,
Hawaii,1421658,262,,,
Idaho,1657375,521,,,
Illinois,12854526,2499,,,
Indiana,6614418,1288,,,
Iowa,3118102,678,,,
Kansas,2903820,613,,,
Kentucky,4424376,855,,,
Louisiana,4663461,558,,,
Maine,1330158,558,,,
Maryland,5996079,837,,,
Massachusetts,6789319,1256,,,
Michigan,9925568,1836,,,
Minnesota,5490726,1012,,,
Mississippi,2986220,375,,,
Missouri,6075300,1458,,,
Montana,1029862,478,,,
Nebraska,1893921,381,,,
Nevada,2887725,803,,,
New Hampshire,1331848,486,,,
New Jersey,8960161,1255,,,
New Mexico,2084828,720,,,
New York,19798228,2980,,,
North Carolina,10052564,1740,,,
North Dakota,745475,129,,,
Ohio,11609756,2275,,,
Oklahoma,3896251,724,,,
Oregon,4025127,1747,,,
Pennsylvania,12790505,2366,,,
Puerto Rico,3468963,25,,,
Rhode Island,1056138,228,,,
South Carolina,4893444,1003,,,
South Dakota,855444,183,,,
Tennessee,6597381,1119,,,
Texas,27419612,3447,,,
Utah,2993941,622,,,
Vermont,624636,260,,,
Virginia,8365952,1273,,,
Washington,7169967,3966,,,
West Virginia,1836843,448,,,
Wisconsin,5763217,1232,,,
Wyoming,583200,175,,,
