,State,Frequency of Military,Frequency of UFO,,,,
,Alabama,26,6,,,,
,Alaska,13,2,,,,
,Arizona,13,21,,,,
,Arkansas,4,4,,,,
,California,59,65,,,,
,Colorado,8,13,,,,
,Connecticut,5,8,,,,
,Delaware,3,0,,,,
,DC,5,0,,,,
,Florida,39,28,,,,
,Georgia,15,10,,,,
,Hawaii,27,2,,,,
,Idaho,6,3,,,,
,Illinois,13,43,,,,
,Indiana,7,13,,,,
,Iowa,3,7,,,,
,Kansas,7,6,,,,
,Kentucky,5,11,,,,
,Louisiana,11,2,,,,
,Maine,7,7,,,,
,Maryland,19,6,,,,
,Massachusetts,8,11,,,,
,Michigan,6,22,,,,
,Minnesota,9,14,,,,
,Mississippi,10,2,,,,
,Missouri,9,15,,,,
,Montana,4,1,,,,
,Nebraska,7,2,,,,
,Nevada,12,11,,,,
,New Hampshire,3,7,,,,
,New Jersey,6,9,,,,
,New Mexico,6,8,,,,
,New York,15,47,,,,
,North Carolina,11,13,,,,
,North Dakota,7,0,,,,
,Ohio,12,23,,,,
,Oklahoma,14,6,,,,
,Oregon,9,20,,,,
,Pennsylvania,10,14,,,,
,Puerto Rico,0,1,,,,
,Rhode Island,3,2,,,,
,South Carolina,12,7,,,,
,Tennessee,7,13,,,,
,Texas,31,29,,,,
,Utah,8,4,,,,
,Vermont,5,2,,,,
,Virginia,36,13,,,,
,Washington,18,33,,,,
,West Virginia,6,5,,,,
,Wisconsin,7,10,,,,
,Wyoming,2,0,,,,
